Product_Name,Product_ID,Year,Month,Day,Quantity_Demanded,Total_Cost,Labour_wages,Energy_cost,R_N_D,Transport,Taxes,Production,Raw_materials,Profit,Destination,Distance_from_Pos
B,CW1564,2017,6,1,7270,3627730,362773,362773,181386.5,108831.9,72554.6,725546,1088319,725546,GANDHINAGAR,51
B,CW1564,2017,6,1,8625,4303875,430387.5,430387.5,215193.75,129116.25,86077.5,860775,1291162.5,860775,SURAT,261
C,DW5697,2017,6,1,828,463680,46368,46368,23184,13910.4,9273.6,92736,139104,92736,AHMEDABAD,21
C,DW5697,2017,6,1,1257,703920,70392,70392,35196,21117.6,14078.4,140784,211176,140784,VADODARA,123
C,DW5697,2017,6,1,583,326480,48972,48972,32648,26118.4,22853.6,81620,114268,6529.6,GANDHINAGAR,63
C,DW5697,2017,6,1,881,493360,74004,74004,49336,39468.8,34535.2,123340,172676,9867.2,SURAT,279
D,AY2843,2017,6,1,619,495200,74280,74280,49520,39616,34664,123800,173320,9904,AHMEDABAD,14
D,AY2843,2017,6,1,786,628800,94320,94320,62880,50304,44016,157200,220080,12576,VADODARA,123
D,AY2843,2017,6,1,968,774400,116160,116160,77440,61952,54208,193600,271040,15488,GANDHINAGAR,76
D,AY2843,2017,6,1,1023,818400,122760,122760,81840,65472,57288,204600,286440,16368,SURAT,252
A,BQ4561,2017,7,1,598,3946202,591930.3,591930.3,394620.2,315696.16,276234.14,986550.5,1381170.7,78924.04,AHMEDABAD,17
A,BQ4561,2017,7,1,738,4870062,730509.3,730509.3,487006.2,389604.96,340904.34,1217515.5,1704521.7,97401.24,VADODARA,145
A,BQ4561,2017,7,1,484,3193916,479087.4,479087.4,319391.6,255513.28,223574.12,798479,1117870.6,63878.32,GANDHINAGAR,76
A,BQ4561,2017,7,1,1186,7826414,1173962.1,1173962.1,782641.4,626113.12,547848.98,1956603.5,2739244.9,156528.28,SURAT,268
B,CW1564,2017,7,1,7329,3657171,548575.65,548575.65,365717.1,292573.68,256001.97,914292.75,1280009.85,73143.42,AHMEDABAD,17
B,CW1564,2017,7,1,8122,4052878,607931.7,607931.7,405287.8,324230.24,283701.46,1013219.5,1418507.3,81057.56,VADODARA,139
B,CW1564,2017,7,1,8334,4158666,623799.9,623799.9,415866.6,332693.28,291106.62,1039666.5,1455533.1,83173.32,GANDHINAGAR,59
B,CW1564,2017,7,1,7154,3569846,535476.9,535476.9,356984.6,285587.68,249889.22,892461.5,1249446.1,71396.92,SURAT,268
C,DW5697,2017,7,1,1029,576240,86436,86436,57624,46099.2,40336.8,144060,201684,11524.8,AHMEDABAD,11
C,DW5697,2017,7,1,556,311360,46704,46704,31136,24908.8,21795.2,77840,108976,6227.2,VADODARA,120
C,DW5697,2017,7,1,739,413840,62076,62076,41384,33107.2,28968.8,103460,144844,8276.8,GANDHINAGAR,65
C,DW5697,2017,7,1,1350,756000,75600,75600,37800,22680,15120,151200,226800,151200,SURAT,278
D,AY2843,2017,7,1,885,708000,70800,70800,35400,21240,14160,141600,212400,141600,AHMEDABAD,19
D,AY2843,2017,7,1,1029,823200,82320,82320,41160,24696,16464,164640,246960,164640,VADODARA,147
D,AY2843,2017,7,1,841,672800,67280,67280,33640,20184,13456,134560,201840,134560,GANDHINAGAR,75
D,AY2843,2017,7,1,714,571200,57120,57120,28560,17136,11424,114240,171360,114240,SURAT,275
A,BQ4561,2017,8,1,629,4150771,415077.1,415077.1,207538.55,124523.13,83015.42,830154.2,1245231.3,830154.2,AHMEDABAD,26
A,BQ4561,2017,8,1,668,4408132,440813.2,440813.2,220406.6,132243.96,88162.64,881626.4,1322439.6,881626.4,VADODARA,136
A,BQ4561,2017,8,1,316,2085284,208528.4,208528.4,104264.2,62558.52,41705.68,417056.8,625585.2,417056.8,GANDHINAGAR,74
A,BQ4561,2017,8,1,1153,7608647,760864.7,760864.7,380432.35,228259.41,152172.94,1521729.4,2282594.1,1521729.4,SURAT,251
B,CW1564,2017,8,1,8213,4098287,409828.7,409828.7,204914.35,122948.61,81965.74,819657.4,1229486.1,819657.4,AHMEDABAD,23
B,CW1564,2017,8,1,8721,4351779,435177.9,435177.9,217588.95,130553.37,87035.58,870355.8,1305533.7,870355.8,VADODARA,147
B,CW1564,2017,8,1,9321,4651179,465117.9,465117.9,232558.95,139535.37,93023.58,930235.8,1395353.7,930235.8,GANDHINAGAR,50
B,CW1564,2017,8,1,7453,3719047,371904.7,371904.7,185952.35,111571.41,74380.94,743809.4,1115714.1,743809.4,SURAT,250
C,DW5697,2017,8,1,1409,789040,78904,78904,39452,23671.2,15780.8,157808,236712,157808,AHMEDABAD,26
C,DW5697,2017,8,1,1105,618800,61880,61880,30940,18564,12376,123760,185640,123760,VADODARA,148
C,DW5697,2017,8,1,871,487760,48776,48776,24388,14632.8,9755.2,97552,146328,97552,GANDHINAGAR,62
C,DW5697,2017,8,1,1135,635600,63560,63560,31780,19068,12712,127120,190680,127120,SURAT,291
D,AY2843,2017,8,1,632,505600,50560,50560,25280,15168,10112,101120,151680,101120,AHMEDABAD,16
D,AY2843,2017,8,1,987,789600,78960,78960,39480,23688,15792,157920,236880,157920,VADODARA,137
D,AY2843,2017,8,1,967,773600,77360,77360,38680,23208,15472,154720,232080,154720,GANDHINAGAR,59
D,AY2843,2017,8,1,684,547200,54720,54720,27360,16416,10944,109440,164160,109440,SURAT,299
A,BQ4561,2017,9,1,768,5068032,506803.2,506803.2,253401.6,152040.96,101360.64,1013606.4,1520409.6,1013606.4,AHMEDABAD,13
A,BQ4561,2017,9,1,888,5859912,878986.8,878986.8,585991.2,468792.96,410193.84,1464978,2050969.2,117198.24,VADODARA,126
A,BQ4561,2017,9,1,453,2989347,448402.05,448402.05,298934.7,239147.76,209254.29,747336.75,1046271.45,59786.94,GANDHINAGAR,73
A,BQ4561,2017,9,1,1165,7687835,1153175.25,1153175.25,768783.5,615026.8,538148.45,1921958.75,2690742.25,153756.7,SURAT,256
B,CW1564,2017,9,1,8922,4452078,667811.7,667811.7,445207.8,356166.24,311645.46,1113019.5,1558227.3,89041.56,AHMEDABAD,28
B,CW1564,2017,9,1,7445,3715055,557258.25,557258.25,371505.5,297204.4,260053.85,928763.75,1300269.25,74301.1,VADODARA,144
B,CW1564,2017,9,1,8083,4033417,605012.55,605012.55,403341.7,322673.36,282339.19,1008354.25,1411695.95,80668.34,GANDHINAGAR,61
B,CW1564,2017,9,1,9600,4790400,718560,718560,479040,383232,335328,1197600,1676640,95808,SURAT,282
C,DW5697,2017,9,1,1093,612080,91812,91812,61208,48966.4,42845.6,153020,214228,12241.6,AHMEDABAD,30
C,DW5697,2017,9,1,660,369600,55440,55440,36960,29568,25872,92400,129360,7392,VADODARA,126
C,DW5697,2017,9,1,889,497840,74676,74676,49784,39827.2,34848.8,124460,174244,9956.8,GANDHINAGAR,72
C,DW5697,2017,9,1,1442,807520,121128,121128,80752,64601.6,56526.4,201880,282632,16150.4,SURAT,271
D,AY2843,2017,9,1,845,676000,101400,101400,67600,54080,47320,169000,236600,13520,AHMEDABAD,17
D,AY2843,2017,9,1,693,554400,83160,83160,55440,44352,38808,138600,194040,11088,VADODARA,122
D,AY2843,2017,9,1,1034,827200,124080,124080,82720,66176,57904,206800,289520,16544,GANDHINAGAR,56
D,AY2843,2017,9,1,837,669600,100440,100440,66960,53568,46872,167400,234360,13392,SURAT,293
A,BQ4561,2017,10,1,545,3596455,539468.25,539468.25,359645.5,287716.4,251751.85,899113.75,1258759.25,71929.1,AHMEDABAD,30
A,BQ4561,2017,10,1,785,5180215,777032.25,777032.25,518021.5,414417.2,362615.05,1295053.75,1813075.25,103604.3,VADODARA,147
A,BQ4561,2017,10,1,387,2553813,383071.95,383071.95,255381.3,204305.04,178766.91,638453.25,893834.55,51076.26,GANDHINAGAR,78
A,BQ4561,2017,10,1,1198,7905602,790560.2,790560.2,395280.1,237168.06,158112.04,1581120.4,2371680.6,1581120.4,SURAT,267
B,CW1564,2017,10,1,7267,3626233,362623.3,362623.3,181311.65,108786.99,72524.66,725246.6,1087869.9,725246.6,AHMEDABAD,28
B,CW1564,2017,10,1,7210,3597790,359779,359779,179889.5,107933.7,71955.8,719558,1079337,719558,VADODARA,133
B,CW1564,2017,10,1,7438,3711562,371156.2,371156.2,185578.1,111346.86,74231.24,742312.4,1113468.6,742312.4,GANDHINAGAR,68
B,CW1564,2017,10,1,9340,4660660,466066,466066,233033,139819.8,93213.2,932132,1398198,932132,SURAT,300
C,DW5697,2017,10,1,963,539280,53928,53928,26964,16178.4,10785.6,107856,161784,107856,AHMEDABAD,15
C,DW5697,2017,10,1,945,529200,52920,52920,26460,15876,10584,105840,158760,105840,VADODARA,135
C,DW5697,2017,10,1,812,454720,45472,45472,22736,13641.6,9094.4,90944,136416,90944,GANDHINAGAR,78
C,DW5697,2017,10,1,1342,751520,75152,75152,37576,22545.6,15030.4,150304,225456,150304,SURAT,257
D,AY2843,2017,10,1,670,536000,53600,53600,26800,16080,10720,107200,160800,107200,AHMEDABAD,30
D,AY2843,2017,10,1,940,752000,75200,75200,37600,22560,15040,150400,225600,150400,VADODARA,140
D,AY2843,2017,10,1,1065,852000,85200,85200,42600,25560,17040,170400,255600,170400,GANDHINAGAR,72
D,AY2843,2017,10,1,938,750400,75040,75040,37520,22512,15008,150080,225120,150080,SURAT,277
A,BQ4561,2017,11,1,540,3563460,534519,534519,356346,285076.8,249442.2,890865,1247211,71269.2,AHMEDABAD,25
A,BQ4561,2017,11,1,871,5747729,862159.35,862159.35,574772.9,459818.32,402341.03,1436932.25,2011705.15,114954.58,VADODARA,150
A,BQ4561,2017,11,1,422,2784778,417716.7,417716.7,278477.8,222782.24,194934.46,696194.5,974672.3,55695.56,GANDHINAGAR,79
A,BQ4561,2017,11,1,1000,6599000,989850,989850,659900,527920,461930,1649750,2309650,131980,SURAT,282
B,CW1564,2017,11,1,7430,3707570,556135.5,556135.5,370757,296605.6,259529.9,926892.5,1297649.5,74151.4,AHMEDABAD,24
B,CW1564,2017,11,1,9267,4624233,693634.95,693634.95,462423.3,369938.64,323696.31,1156058.25,1618481.55,92484.66,VADODARA,147
B,CW1564,2017,11,1,8230,4106770,616015.5,616015.5,410677,328541.6,287473.9,1026692.5,1437369.5,82135.4,GANDHINAGAR,56
B,CW1564,2017,11,1,7200,3592800,359280,359280,179640,107784,71856,718560,1077840,718560,SURAT,294
C,DW5697,2017,11,1,1062,594720,59472,59472,29736,17841.6,11894.4,118944,178416,118944,AHMEDABAD,14
C,DW5697,2017,11,1,1223,684880,68488,68488,34244,20546.4,13697.6,136976,205464,136976,VADODARA,138
C,DW5697,2017,11,1,678,379680,37968,37968,18984,11390.4,7593.6,75936,113904,75936,GANDHINAGAR,79
C,DW5697,2017,11,1,671,375760,37576,37576,18788,11272.8,7515.2,75152,112728,75152,SURAT,261
D,AY2843,2017,11,1,994,795200,79520,79520,39760,23856,15904,159040,238560,159040,AHMEDABAD,22
D,AY2843,2017,11,1,944,755200,75520,75520,37760,22656,15104,151040,226560,151040,VADODARA,133
D,AY2843,2017,11,1,652,521600,52160,52160,26080,15648,10432,104320,156480,104320,GANDHINAGAR,71
D,AY2843,2017,11,1,891,712800,71280,71280,35640,21384,14256,142560,213840,142560,SURAT,272
A,BQ4561,2017,12,1,505,3332495,333249.5,333249.5,166624.75,99974.85,66649.9,666499,999748.5,666499,AHMEDABAD,13
A,BQ4561,2017,12,1,760,5015240,501524,501524,250762,150457.2,100304.8,1003048,1504572,1003048,VADODARA,146
A,BQ4561,2017,12,1,321,2118279,211827.9,211827.9,105913.95,63548.37,42365.58,423655.8,635483.7,423655.8,GANDHINAGAR,77
A,BQ4561,2017,12,1,1166,7694434,769443.4,769443.4,384721.7,230833.02,153888.68,1538886.8,2308330.2,1538886.8,SURAT,278
B,CW1564,2017,12,1,7535,3759965,375996.5,375996.5,187998.25,112798.95,75199.3,751993,1127989.5,751993,AHMEDABAD,23
B,CW1564,2017,12,1,9494,4737506,473750.6,473750.6,236875.3,142125.18,94750.12,947501.2,1421251.8,947501.2,VADODARA,146
B,CW1564,2017,12,1,7443,3714057,371405.7,371405.7,185702.85,111421.71,74281.14,742811.4,1114217.1,742811.4,GANDHINAGAR,72
B,CW1564,2017,12,1,9481,4731019,473101.9,473101.9,236550.95,141930.57,94620.38,946203.8,1419305.7,946203.8,SURAT,275
C,DW5697,2017,12,1,1026,574560,57456,57456,28728,17236.8,11491.2,114912,172368,114912,AHMEDABAD,23
C,DW5697,2017,12,1,510,285600,28560,28560,14280,8568,5712,57120,85680,57120,VADODARA,123
C,DW5697,2017,12,1,885,495600,49560,49560,24780,14868,9912,99120,148680,99120,GANDHINAGAR,79
C,DW5697,2017,12,1,608,340480,34048,34048,17024,10214.4,6809.6,68096,102144,68096,SURAT,251
D,AY2843,2017,12,1,913,730400,73040,73040,36520,21912,14608,146080,219120,146080,AHMEDABAD,12
D,AY2843,2017,12,1,642,513600,51360,51360,25680,15408,10272,102720,154080,102720,VADODARA,120
D,AY2843,2017,12,1,891,712800,71280,71280,35640,21384,14256,142560,213840,142560,GANDHINAGAR,58
D,AY2843,2017,12,1,697,557600,55760,55760,27880,16728,11152,111520,167280,111520,SURAT,298
