Product_Name,Product_ID,Year,Month,Day,Quantity_Demanded,Cost,Labour_wages,Energy_cost,Production_unit,Raw_materials,Destination,Distance_from_Pos
B,435207F,2018,1,7,812,1605,,,,,VADODARA,93
B,435207F,2018,1,7,809,1605,,,,,GANDHINAGAR,30
B,435207F,2018,1,7,789,1605,,,,,SURAT,292
A,112054C,2018,1,8,823,515,,,,,AHMEDABAD,12
A,112054C,2018,1,8,945,515,,,,,VADODARA,156
A,112054C,2018,1,8,824,515,,,,,GANDHINAGAR,42
A,112054C,2018,1,8,846,515,,,,,SURAT,279
B,435207F,2018,1,8,837,1605,,,,,AHMEDABAD,10
B,435207F,2018,1,8,845,1605,,,,,VADODARA,129
B,435207F,2018,1,8,793,1605,,,,,GANDHINAGAR,51
B,435207F,2018,1,8,750,1605,,,,,SURAT,272
A,112054C,2018,1,9,719,515,,,,,AHMEDABAD,13
A,112054C,2018,1,9,905,515,,,,,VADODARA,165
A,112054C,2018,1,9,978,515,,,,,GANDHINAGAR,49
A,112054C,2018,1,9,912,515,,,,,SURAT,249
B,435207F,2018,1,9,850,1605,,,,,AHMEDABAD,11
B,435207F,2018,1,9,823,1605,,,,,VADODARA,97
B,435207F,2018,1,9,956,1605,,,,,GANDHINAGAR,41
B,435207F,2018,1,9,825,1605,,,,,SURAT,310
A,112054C,2018,1,10,801,515,,,,,AHMEDABAD,17
A,112054C,2018,1,10,765,515,,,,,VADODARA,75
A,112054C,2018,1,10,793,515,,,,,GANDHINAGAR,42
A,112054C,2018,1,10,855,515,,,,,SURAT,303
B,435207F,2018,1,10,888,1605,,,,,AHMEDABAD,18
B,435207F,2018,1,10,837,1605,,,,,VADODARA,100
B,435207F,2018,1,10,873,1605,,,,,GANDHINAGAR,38
B,435207F,2018,1,10,764,1605,,,,,SURAT,282
A,112054C,2018,1,11,901,515,,,,,AHMEDABAD,17
A,112054C,2018,1,11,936,515,,,,,VADODARA,119
A,112054C,2018,1,11,864,515,,,,,GANDHINAGAR,39
A,112054C,2018,1,11,815,515,,,,,SURAT,242
B,435207F,2018,1,11,838,1605,,,,,AHMEDABAD,20
B,435207F,2018,1,11,827,1605,,,,,VADODARA,109
B,435207F,2018,1,11,739,1605,,,,,GANDHINAGAR,35
B,435207F,2018,1,11,937,1605,,,,,SURAT,295
A,112054C,2018,1,12,836,515,,,,,AHMEDABAD,13
A,112054C,2018,1,12,935,515,,,,,VADODARA,91
A,112054C,2018,1,12,739,515,,,,,GANDHINAGAR,31
A,112054C,2018,1,12,938,515,,,,,SURAT,290
B,435207F,2018,1,12,802,1605,,,,,AHMEDABAD,21
B,435207F,2018,1,12,930,1605,,,,,VADODARA,83
B,435207F,2018,1,12,839,1605,,,,,GANDHINAGAR,30
B,435207F,2018,1,12,735,1605,,,,,SURAT,279
A,112054C,2018,1,13,793,515,,,,,AHMEDABAD,10
A,112054C,2018,1,13,834,515,,,,,VADODARA,120
A,112054C,2018,1,13,936,515,,,,,GANDHINAGAR,38
A,112054C,2018,1,13,738,515,,,,,SURAT,309
B,435207F,2018,1,13,937,1605,,,,,AHMEDABAD,21
B,435207F,2018,1,13,825,1605,,,,,VADODARA,130
B,435207F,2018,1,13,738,1605,,,,,GANDHINAGAR,50
B,435207F,2018,1,13,936,1605,,,,,SURAT,319
A,112054C,2018,1,14,947,515,,,,,AHMEDABAD,23
A,112054C,2018,1,14,846,515,,,,,VADODARA,137
A,112054C,2018,1,14,844,515,,,,,GANDHINAGAR,48
A,112054C,2018,1,14,974,515,,,,,SURAT,298
B,435207F,2018,1,14,748,1605,,,,,AHMEDABAD,17
B,435207F,2018,1,14,749,1605,,,,,VADODARA,142
B,435207F,2018,1,14,859,1605,,,,,GANDHINAGAR,52
B,435207F,2018,1,14,958,1605,,,,,SURAT,257
A,112054C,2018,1,15,859,515,,,,,AHMEDABAD,19
A,112054C,2018,1,15,957,515,,,,,VADODARA,139
A,112054C,2018,1,15,857,515,,,,,GANDHINAGAR,42
A,112054C,2018,1,15,749,515,,,,,SURAT,245
B,435207F,2018,1,15,729,1605,,,,,AHMEDABAD,12
B,435207F,2018,1,15,940,1605,,,,,VADODARA,141
B,435207F,2018,1,15,749,1605,,,,,GANDHINAGAR,49
B,435207F,2018,1,15,840,1605,,,,,SURAT,272
A,112054C,2018,1,16,752,515,,,,,AHMEDABAD,19
A,112054C,2018,1,16,954,515,,,,,VADODARA,148
A,112054C,2018,1,16,851,515,,,,,GANDHINAGAR,39
A,112054C,2018,1,16,740,515,,,,,SURAT,269
B,435207F,2018,1,16,937,1605,,,,,AHMEDABAD,18
B,435207F,2018,1,16,864,1605,,,,,VADODARA,137
B,435207F,2018,1,16,739,1605,,,,,GANDHINAGAR,45
B,435207F,2018,1,16,924,1605,,,,,SURAT,275
A,112054C,2018,1,17,847,515,,,,,AHMEDABAD,19
A,112054C,2018,1,17,924,515,,,,,VADODARA,136
A,112054C,2018,1,17,740,515,,,,,GANDHINAGAR,39
A,112054C,2018,1,17,857,515,,,,,SURAT,298
B,435207F,2018,1,17,903,1605,,,,,AHMEDABAD,15
B,435207F,2018,1,17,874,1605,,,,,VADODARA,129
B,435207F,2018,1,17,978,1605,,,,,GANDHINAGAR,49
B,435207F,2018,1,17,690,1605,,,,,SURAT,278
A,112054C,2018,1,18,890,515,,,,,AHMEDABAD,19
A,112054C,2018,1,18,894,515,,,,,VADODARA,109
A,112054C,2018,1,18,749,515,,,,,GANDHINAGAR,32
A,112054C,2018,1,18,973,515,,,,,SURAT,280
B,435207F,2018,1,18,829,1605,,,,,AHMEDABAD,19
B,435207F,2018,1,18,938,1605,,,,,VADODARA,120
B,435207F,2018,1,18,782,1605,,,,,GANDHINAGAR,57
B,435207F,2018,1,18,983,1605,,,,,SURAT,236
A,112054C,2018,1,19,783,515,,,,,AHMEDABAD,14
A,112054C,2018,1,19,858,515,,,,,VADODARA,94
A,112054C,2018,1,19,689,515,,,,,GANDHINAGAR,37
A,112054C,2018,1,19,849,515,,,,,SURAT,219
B,435207F,2018,1,19,967,1605,,,,,AHMEDABAD,17
B,435207F,2018,1,19,856,1605,,,,,VADODARA,82
B,435207F,2018,1,19,735,1605,,,,,GANDHINAGAR,46
B,435207F,2018,1,19,856,1605,,,,,SURAT,198
A,112054C,2018,1,20,892,515,,,,,AHMEDABAD,14
A,112054C,2018,1,20,894,515,,,,,VADODARA,78
A,112054C,2018,1,20,853,515,,,,,GANDHINAGAR,29
A,112054C,2018,1,20,738,515,,,,,SURAT,209
B,435207F,2018,1,20,934,1605,,,,,AHMEDABAD,21
B,435207F,2018,1,20,856,1605,,,,,VADODARA,134
B,435207F,2018,1,20,847,1605,,,,,GANDHINAGAR,29
B,435207F,2018,1,20,935,1605,,,,,SURAT,273
A,112054C,2018,1,21,745,515,,,,,AHMEDABAD,17
A,112054C,2018,1,21,846,515,,,,,VADODARA,160
A,112054C,2018,1,21,957,515,,,,,GANDHINAGAR,28
A,112054C,2018,1,21,951,515,,,,,SURAT,307
B,435207F,2018,1,21,847,1605,,,,,AHMEDABAD,23
B,435207F,2018,1,21,903,1605,,,,,VADODARA,109
B,435207F,2018,1,21,836,1605,,,,,GANDHINAGAR,45
B,435207F,2018,1,21,936,1605,,,,,SURAT,297
A,112054C,2018,1,22,846,515,,,,,AHMEDABAD,22
A,112054C,2018,1,22,734,515,,,,,VADODARA,120
A,112054C,2018,1,22,901,515,,,,,GANDHINAGAR,45
A,112054C,2018,1,22,748,515,,,,,SURAT,265
B,435207F,2018,1,22,954,1605,,,,,AHMEDABAD,19
B,435207F,2018,1,22,834,1605,,,,,VADODARA,99
B,435207F,2018,1,22,945,1605,,,,,GANDHINAGAR,33
B,435207F,2018,1,22,835,1605,,,,,SURAT,211
A,112054C,2018,1,23,749,515,,,,,AHMEDABAD,12
A,112054C,2018,1,23,956,515,,,,,VADODARA,137
A,112054C,2018,1,23,846,515,,,,,GANDHINAGAR,26
A,112054C,2018,1,23,950,515,,,,,SURAT,266
B,435207F,2018,1,23,865,1605,,,,,AHMEDABAD,24
B,435207F,2018,1,23,748,1605,,,,,VADODARA,148
B,435207F,2018,1,23,957,1605,,,,,GANDHINAGAR,37
B,435207F,2018,1,23,967,1605,,,,,SURAT,253
A,112054C,2018,1,24,961,515,,,,,AHMEDABAD,23
A,112054C,2018,1,24,756,515,,,,,VADODARA,96
A,112054C,2018,1,24,846,515,,,,,GANDHINAGAR,32
A,112054C,2018,1,24,744,515,,,,,SURAT,220
B,435207F,2018,1,24,836,1605,,,,,AHMEDABAD,23
B,435207F,2018,1,24,840,1605,,,,,VADODARA,155
B,435207F,2018,1,24,937,1605,,,,,GANDHINAGAR,31
B,435207F,2018,1,24,744,1605,,,,,SURAT,279
A,112054C,2018,1,25,724,515,,,,,AHMEDABAD,19
A,112054C,2018,1,25,935,515,,,,,VADODARA,116
A,112054C,2018,1,25,845,515,,,,,GANDHINAGAR,48
A,112054C,2018,1,25,824,515,,,,,SURAT,286
B,435207F,2018,1,25,925,1605,,,,,AHMEDABAD,24
B,435207F,2018,1,25,759,1605,,,,,VADODARA,90
B,435207F,2018,1,25,937,1605,,,,,GANDHINAGAR,52
B,435207F,2018,1,25,857,1605,,,,,SURAT,233
A,112054C,2018,1,26,851,515,,,,,AHMEDABAD,20
A,112054C,2018,1,26,749,515,,,,,VADODARA,133
A,112054C,2018,1,26,905,515,,,,,GANDHINAGAR,26
A,112054C,2018,1,26,836,515,,,,,SURAT,211
B,435207F,2018,1,26,837,1605,,,,,AHMEDABAD,12
B,435207F,2018,1,26,739,1605,,,,,VADODARA,89
B,435207F,2018,1,26,704,1605,,,,,GANDHINAGAR,38
B,435207F,2018,1,26,973,1605,,,,,SURAT,273
A,112054C,2018,1,27,748,515,,,,,AHMEDABAD,19
A,112054C,2018,1,27,837,515,,,,,VADODARA,101
A,112054C,2018,1,27,984,515,,,,,GANDHINAGAR,40
A,112054C,2018,1,27,894,515,,,,,SURAT,233
B,435207F,2018,1,27,739,1605,,,,,AHMEDABAD,23
B,435207F,2018,1,27,937,1605,,,,,VADODARA,136
B,435207F,2018,1,27,938,1605,,,,,GANDHINAGAR,35
B,435207F,2018,1,27,943,1605,,,,,SURAT,309
A,112054C,2018,1,28,724,515,,,,,AHMEDABAD,14
A,112054C,2018,1,28,835,515,,,,,VADODARA,147
A,112054C,2018,1,28,935,515,,,,,GANDHINAGAR,53
A,112054C,2018,1,28,836,515,,,,,SURAT,302
B,435207F,2018,1,28,990,1605,,,,,AHMEDABAD,16
B,435207F,2018,1,28,835,1605,,,,,VADODARA,139
B,435207F,2018,1,28,735,1605,,,,,GANDHINAGAR,52
B,435207F,2018,1,28,846,1605,,,,,SURAT,212
A,112054C,2018,1,29,936,515,,,,,AHMEDABAD,18
A,112054C,2018,1,29,836,515,,,,,VADODARA,94
A,112054C,2018,1,29,863,515,,,,,GANDHINAGAR,43
A,112054C,2018,1,29,937,515,,,,,SURAT,284
B,435207F,2018,1,29,948,1605,,,,,AHMEDABAD,12
B,435207F,2018,1,29,947,1605,,,,,VADODARA,129
B,435207F,2018,1,29,940,1605,,,,,GANDHINAGAR,26
B,435207F,2018,1,29,974,1605,,,,,SURAT,291
A,112054C,2018,1,30,918,515,,,,,AHMEDABAD,19
A,112054C,2018,1,30,948,515,,,,,VADODARA,109
A,112054C,2018,1,30,967,515,,,,,GANDHINAGAR,51
A,112054C,2018,1,30,938,515,,,,,SURAT,229
B,435207F,2018,1,30,735,1605,,,,,AHMEDABAD,15
B,435207F,2018,1,30,759,1605,,,,,VADODARA,143
B,435207F,2018,1,30,894,1605,,,,,GANDHINAGAR,41
B,435207F,2018,1,30,749,1605,,,,,SURAT,264
A,112054C,2018,1,31,849,515,,,,,AHMEDABAD,21
A,112054C,2018,1,31,948,515,,,,,VADODARA,94
A,112054C,2018,1,31,904,515,,,,,GANDHINAGAR,50
A,112054C,2018,1,31,920,515,,,,,SURAT,265
B,435207F,2018,1,31,837,1605,,,,,AHMEDABAD,13
B,435207F,2018,1,31,937,1605,,,,,VADODARA,147
B,435207F,2018,1,31,856,1605,,,,,GANDHINAGAR,44
B,435207F,2018,1,31,947,1605,,,,,SURAT,256
A,112054C,2018,2,1,937,624,,,,,AHMEDABAD,21
A,112054C,2018,2,1,1000,624,,,,,VADODARA,88
A,112054C,2018,2,1,1074,624,,,,,GANDHINAGAR,36
A,112054C,2018,2,1,1184,624,,,,,SURAT,310
B,435207F,2018,2,1,1017,1789,,,,,AHMEDABAD,11
B,435207F,2018,2,1,1184,1789,,,,,VADODARA,136
B,435207F,2018,2,1,1074,1789,,,,,GANDHINAGAR,48
B,435207F,2018,2,1,930,1789,,,,,SURAT,231
A,112054C,2018,2,2,936,624,,,,,AHMEDABAD,25
A,112054C,2018,2,2,1037,624,,,,,VADODARA,91
A,112054C,2018,2,2,1093,624,,,,,GANDHINAGAR,55
A,112054C,2018,2,2,946,624,,,,,SURAT,225
B,435207F,2018,2,2,935,1789,,,,,AHMEDABAD,24
B,435207F,2018,2,2,1048,1789,,,,,VADODARA,136
B,435207F,2018,2,2,940,1789,,,,,GANDHINAGAR,33
B,435207F,2018,2,2,1108,1789,,,,,SURAT,228
A,112054C,2018,2,3,1094,624,,,,,AHMEDABAD,13
A,112054C,2018,2,3,1145,624,,,,,VADODARA,137
A,112054C,2018,2,3,948,624,,,,,GANDHINAGAR,28
A,112054C,2018,2,3,1067,624,,,,,SURAT,253
B,435207F,2018,2,3,1176,1789,,,,,AHMEDABAD,12
B,435207F,2018,2,3,927,1789,,,,,VADODARA,160
B,435207F,2018,2,3,930,1789,,,,,GANDHINAGAR,53
B,435207F,2018,2,3,1028,1789,,,,,SURAT,301
A,112054C,2018,2,4,1083,624,,,,,AHMEDABAD,10
A,112054C,2018,2,4,1193,624,,,,,VADODARA,93
A,112054C,2018,2,4,948,624,,,,,GANDHINAGAR,54
A,112054C,2018,2,4,1036,624,,,,,SURAT,221
B,435207F,2018,2,4,1108,1789,,,,,AHMEDABAD,11
B,435207F,2018,2,4,1178,1789,,,,,VADODARA,149
B,435207F,2018,2,4,946,1789,,,,,GANDHINAGAR,30
B,435207F,2018,2,4,926,1789,,,,,SURAT,277
A,112054C,2018,2,5,904,624,,,,,AHMEDABAD,12
A,112054C,2018,2,5,957,624,,,,,VADODARA,99
A,112054C,2018,2,5,1047,624,,,,,GANDHINAGAR,42
A,112054C,2018,2,5,1167,624,,,,,SURAT,245
B,435207F,2018,2,5,1178,1789,,,,,AHMEDABAD,23
B,435207F,2018,2,5,1137,1789,,,,,VADODARA,150
B,435207F,2018,2,5,1193,1789,,,,,GANDHINAGAR,28
B,435207F,2018,2,5,1038,1789,,,,,SURAT,280
A,112054C,2018,2,6,1047,624,,,,,AHMEDABAD,25
A,112054C,2018,2,6,1093,624,,,,,VADODARA,153
A,112054C,2018,2,6,938,624,,,,,GANDHINAGAR,35
A,112054C,2018,2,6,926,624,,,,,SURAT,212
B,435207F,2018,2,6,910,1789,,,,,AHMEDABAD,14
B,435207F,2018,2,6,1038,1789,,,,,VADODARA,117
B,435207F,2018,2,6,1032,1789,,,,,GANDHINAGAR,48
B,435207F,2018,2,6,1104,1789,,,,,SURAT,296
A,112054C,2018,2,7,1178,624,,,,,AHMEDABAD,18
A,112054C,2018,2,7,1082,624,,,,,VADODARA,113
A,112054C,2018,2,7,920,624,,,,,GANDHINAGAR,32
A,112054C,2018,2,7,1083,624,,,,,SURAT,238
B,435207F,2018,2,7,1174,1789,,,,,AHMEDABAD,12
B,435207F,2018,2,7,1302,1789,,,,,VADODARA,100
B,435207F,2018,2,7,920,1789,,,,,GANDHINAGAR,27
B,435207F,2018,2,7,1083,1789,,,,,SURAT,243
A,112054C,2018,2,8,1164,624,,,,,AHMEDABAD,17
A,112054C,2018,2,8,946,624,,,,,VADODARA,102
A,112054C,2018,2,8,1046,624,,,,,GANDHINAGAR,45
A,112054C,2018,2,8,1178,624,,,,,SURAT,264
B,435207F,2018,2,8,983,1789,,,,,AHMEDABAD,13
B,435207F,2018,2,8,1048,1789,,,,,VADODARA,148
B,435207F,2018,2,8,1183,1789,,,,,GANDHINAGAR,54
B,435207F,2018,2,8,930,1789,,,,,SURAT,257
A,112054C,2018,2,9,934,624,,,,,AHMEDABAD,12
A,112054C,2018,2,9,924,624,,,,,VADODARA,123
A,112054C,2018,2,9,958,624,,,,,GANDHINAGAR,29
A,112054C,2018,2,9,960,624,,,,,SURAT,308
B,435207F,2018,2,9,1192,1789,,,,,AHMEDABAD,11
B,435207F,2018,2,9,1038,1789,,,,,VADODARA,97
B,435207F,2018,2,9,945,1789,,,,,GANDHINAGAR,44
B,435207F,2018,2,9,1073,1789,,,,,SURAT,291
A,112054C,2018,2,10,927,624,,,,,AHMEDABAD,17
A,112054C,2018,2,10,930,624,,,,,VADODARA,92
A,112054C,2018,2,10,925,624,,,,,GANDHINAGAR,55
A,112054C,2018,2,10,956,624,,,,,SURAT,271
B,435207F,2018,2,10,967,1789,,,,,AHMEDABAD,10
B,435207F,2018,2,10,910,1789,,,,,VADODARA,117
B,435207F,2018,2,10,1075,1789,,,,,GANDHINAGAR,48
B,435207F,2018,2,10,1165,1789,,,,,SURAT,246
A,112054C,2018,2,11,1198,624,,,,,AHMEDABAD,23
A,112054C,2018,2,11,940,624,,,,,VADODARA,104
A,112054C,2018,2,11,982,624,,,,,GANDHINAGAR,32
A,112054C,2018,2,11,1038,624,,,,,SURAT,269
B,435207F,2018,2,11,1167,1789,,,,,AHMEDABAD,20
B,435207F,2018,2,11,973,1789,,,,,VADODARA,87
B,435207F,2018,2,11,916,1789,,,,,GANDHINAGAR,25
B,435207F,2018,2,11,1046,1789,,,,,SURAT,287
A,112054C,2018,2,12,1168,624,,,,,AHMEDABAD,13
A,112054C,2018,2,12,1037,624,,,,,VADODARA,119
A,112054C,2018,2,12,938,624,,,,,GANDHINAGAR,26
A,112054C,2018,2,12,1083,624,,,,,SURAT,216
B,435207F,2018,2,12,1156,1789,,,,,AHMEDABAD,14
B,435207F,2018,2,12,932,1789,,,,,VADODARA,121
B,435207F,2018,2,12,950,1789,,,,,GANDHINAGAR,32
B,435207F,2018,2,12,1067,1789,,,,,SURAT,265
A,112054C,2018,2,13,1159,624,,,,,AHMEDABAD,15
A,112054C,2018,2,13,1023,624,,,,,VADODARA,142
A,112054C,2018,2,13,1046,624,,,,,GANDHINAGAR,53
A,112054C,2018,2,13,1057,624,,,,,SURAT,256
B,435207F,2018,2,13,1089,1789,,,,,AHMEDABAD,10
B,435207F,2018,2,13,1038,1789,,,,,VADODARA,129
B,435207F,2018,2,13,940,1789,,,,,GANDHINAGAR,32
B,435207F,2018,2,13,936,1789,,,,,SURAT,258
A,112054C,2018,2,14,957,624,,,,,AHMEDABAD,14
A,112054C,2018,2,14,924,624,,,,,VADODARA,88
A,112054C,2018,2,14,930,624,,,,,GANDHINAGAR,55
A,112054C,2018,2,14,1036,624,,,,,SURAT,297
B,435207F,2018,2,14,1047,1789,,,,,AHMEDABAD,15
B,435207F,2018,2,14,1068,1789,,,,,VADODARA,115
B,435207F,2018,2,14,1039,1789,,,,,GANDHINAGAR,33
B,435207F,2018,2,14,920,1789,,,,,SURAT,284
A,112054C,2018,2,15,1189,624,,,,,AHMEDABAD,10
A,112054C,2018,2,15,1167,624,,,,,VADODARA,159
A,112054C,2018,2,15,1145,624,,,,,GANDHINAGAR,41
A,112054C,2018,2,15,1189,624,,,,,SURAT,230
B,435207F,2018,2,15,1139,1789,,,,,AHMEDABAD,23
B,435207F,2018,2,15,1193,1789,,,,,VADODARA,126
B,435207F,2018,2,15,1102,1789,,,,,GANDHINAGAR,36
B,435207F,2018,2,15,1103,1789,,,,,SURAT,257
A,112054C,2018,2,16,1157,624,,,,,AHMEDABAD,12
A,112054C,2018,2,16,1194,624,,,,,VADODARA,147
A,112054C,2018,2,16,1139,624,,,,,GANDHINAGAR,25
A,112054C,2018,2,16,1149,624,,,,,SURAT,294
B,435207F,2018,2,16,1104,1789,,,,,AHMEDABAD,19
B,435207F,2018,2,16,1084,1789,,,,,VADODARA,126
B,435207F,2018,2,16,1082,1789,,,,,GANDHINAGAR,40
B,435207F,2018,2,16,1038,1789,,,,,SURAT,295
A,112054C,2018,2,17,1028,624,,,,,AHMEDABAD,14
A,112054C,2018,2,17,1078,624,,,,,VADODARA,154
A,112054C,2018,2,17,1089,624,,,,,GANDHINAGAR,54
A,112054C,2018,2,17,920,624,,,,,SURAT,275
B,435207F,2018,2,17,916,1789,,,,,AHMEDABAD,22
B,435207F,2018,2,17,934,1789,,,,,VADODARA,87
B,435207F,2018,2,17,946,1789,,,,,GANDHINAGAR,37
B,435207F,2018,2,17,988,1789,,,,,SURAT,219
A,112054C,2018,2,18,924,624,,,,,AHMEDABAD,24
A,112054C,2018,2,18,899,624,,,,,VADODARA,127
A,112054C,2018,2,18,940,624,,,,,GANDHINAGAR,34
A,112054C,2018,2,18,926,624,,,,,SURAT,266
B,435207F,2018,2,18,1028,1789,,,,,AHMEDABAD,23
B,435207F,2018,2,18,1084,1789,,,,,VADODARA,133
B,435207F,2018,2,18,1047,1789,,,,,GANDHINAGAR,27
B,435207F,2018,2,18,1049,1789,,,,,SURAT,259
A,112054C,2018,2,19,1082,624,,,,,AHMEDABAD,25
A,112054C,2018,2,19,1092,624,,,,,VADODARA,103
A,112054C,2018,2,19,1167,624,,,,,GANDHINAGAR,41
A,112054C,2018,2,19,1159,624,,,,,SURAT,286
B,435207F,2018,2,19,1134,1789,,,,,AHMEDABAD,11
B,435207F,2018,2,19,1082,1789,,,,,VADODARA,158
B,435207F,2018,2,19,1102,1789,,,,,GANDHINAGAR,45
B,435207F,2018,2,19,1101,1789,,,,,SURAT,240
A,112054C,2018,2,20,920,624,,,,,AHMEDABAD,21
A,112054C,2018,2,20,940,624,,,,,VADODARA,111
A,112054C,2018,2,20,962,624,,,,,GANDHINAGAR,34
A,112054C,2018,2,20,927,624,,,,,SURAT,308
B,435207F,2018,2,20,919,1789,,,,,AHMEDABAD,13
B,435207F,2018,2,20,946,1789,,,,,VADODARA,117
B,435207F,2018,2,20,937,1789,,,,,GANDHINAGAR,52
B,435207F,2018,2,20,956,1789,,,,,SURAT,226
A,112054C,2018,2,21,1083,624,,,,,AHMEDABAD,20
A,112054C,2018,2,21,1038,624,,,,,VADODARA,146
A,112054C,2018,2,21,1068,624,,,,,GANDHINAGAR,48
A,112054C,2018,2,21,1167,624,,,,,SURAT,211
B,435207F,2018,2,21,1189,1789,,,,,AHMEDABAD,16
B,435207F,2018,2,21,1123,1789,,,,,VADODARA,121
B,435207F,2018,2,21,1193,1789,,,,,GANDHINAGAR,30
B,435207F,2018,2,21,1163,1789,,,,,SURAT,297
A,112054C,2018,2,22,1110,624,,,,,AHMEDABAD,24
A,112054C,2018,2,22,1199,624,,,,,VADODARA,101
A,112054C,2018,2,22,1133,624,,,,,GANDHINAGAR,35
A,112054C,2018,2,22,930,624,,,,,SURAT,273
B,435207F,2018,2,22,956,1789,,,,,AHMEDABAD,23
B,435207F,2018,2,22,924,1789,,,,,VADODARA,138
B,435207F,2018,2,22,956,1789,,,,,GANDHINAGAR,49
B,435207F,2018,2,22,936,1789,,,,,SURAT,228
A,112054C,2018,2,23,946,624,,,,,AHMEDABAD,15
A,112054C,2018,2,23,915,624,,,,,VADODARA,114
A,112054C,2018,2,23,998,624,,,,,GANDHINAGAR,44
A,112054C,2018,2,23,946,624,,,,,SURAT,248
B,435207F,2018,2,23,1108,1789,,,,,AHMEDABAD,15
B,435207F,2018,2,23,1176,1789,,,,,VADODARA,144
B,435207F,2018,2,23,1171,1789,,,,,GANDHINAGAR,39
B,435207F,2018,2,23,1140,1789,,,,,SURAT,252
A,112054C,2018,2,24,1104,624,,,,,AHMEDABAD,23
A,112054C,2018,2,24,1167,624,,,,,VADODARA,111
A,112054C,2018,2,24,902,624,,,,,GANDHINAGAR,29
A,112054C,2018,2,24,1038,624,,,,,SURAT,229
B,435207F,2018,2,24,1073,1789,,,,,AHMEDABAD,21
B,435207F,2018,2,24,1019,1789,,,,,VADODARA,119
B,435207F,2018,2,24,1010,1789,,,,,GANDHINAGAR,40
B,435207F,2018,2,24,1047,1789,,,,,SURAT,249
A,112054C,2018,2,25,1098,624,,,,,AHMEDABAD,24
A,112054C,2018,2,25,1031,624,,,,,VADODARA,142
